asset,price,currency,collection_time
GC=F,3381.699951171875,USD,2025-08-15 20:40:11.404719
CL=F,63.13999938964844,USD,2025-08-15 20:40:11.693683
SI=F,38.02000045776367,USD,2025-08-15 20:40:11.872021
PL=F,1345.199951171875,USD,2025-08-15 20:40:12.050833
HG=F,4.488999843597412,USD,2025-08-15 20:40:12.360887
NG=F,2.9230000972747803,USD,2025-08-15 20:40:12.554312
ZC=F,405.75,USD,2025-08-15 20:40:12.725651
ZS=F,1042.75,USD,2025-08-15 20:40:12.896747
KC=F,336.1000061035156,USD,2025-08-15 20:40:13.092387
CT=F,66.05999755859375,USD,2025-08-15 20:40:13.289478
^GSPC,6450.1201171875,USD,2025-08-15 20:40:13.483067
^DJI,44950.359375,USD,2025-08-15 20:40:13.677608
^IXIC,21621.708984375,USD,2025-08-15 20:40:13.838663
